iter	Logloss
0	0.6833915292
1	0.6730253239
2	0.6647908926
3	0.6555256196
4	0.646288336
5	0.6388818942
6	0.6319093145
7	0.624773669
8	0.616828358
9	0.6104809764
10	0.6048487345
11	0.5984135389
12	0.5906372559
13	0.5852264759
14	0.579847923
15	0.5739284027
16	0.5696560165
17	0.5634884302
18	0.5594239524
19	0.5556332132
20	0.551935077
21	0.5463644214
22	0.5431199539
23	0.5401543573
24	0.5368506459
25	0.5334421167
26	0.5304336843
27	0.5271387023
28	0.5238819958
29	0.5201352011
30	0.5171385302
31	0.5142953852
32	0.5118555159
33	0.5093511917
34	0.5072248454
35	0.5052527587
36	0.5028834438
37	0.5008222785
38	0.4980489456
39	0.495900002
40	0.4940716844
41	0.4923676013
42	0.4904895867
43	0.4888238693
44	0.4875123707
45	0.4858201919
46	0.4836627994
47	0.4819715671
48	0.4798930428
49	0.4782093519
50	0.4768827412
51	0.4756530498
52	0.4742511578
53	0.4727438946
54	0.4712384423
55	0.4700747728
56	0.4691118699
57	0.4677075456
58	0.466590919
59	0.4654993887
60	0.46449234
61	0.4635368933
62	0.4625480921
63	0.4595708395
64	0.4586271449
65	0.457581193
66	0.4567362959
67	0.4559191359
68	0.4551822536
69	0.4541678246
70	0.4531774554
71	0.4522880531
72	0.4514406194
73	0.4503894719
74	0.4487241488
75	0.4478206764
76	0.4469359101
77	0.444202688
78	0.443547517
79	0.4427824964
80	0.4418986966
81	0.4409346734
82	0.4393044084
83	0.4386666744
84	0.4378595901
85	0.4372051309
86	0.4364451485
87	0.4358256038
88	0.4352413033
89	0.4346586666
90	0.4339740766
91	0.433447956
92	0.4327141303
93	0.4320502317
94	0.4315138073
95	0.4305820957
96	0.4300009874
97	0.4291998402
98	0.4283595019
99	0.4278522962
100	0.4270461183
101	0.4264470222
102	0.426004484
103	0.4255638379
104	0.4250670505
105	0.4242978828
106	0.4236002155
107	0.4230446576
108	0.4225234925
109	0.4216598848
110	0.4210864934
111	0.4203730708
112	0.4199862568
113	0.4196050626
114	0.4186940619
115	0.4181323807
116	0.4176542602
117	0.4171019034
118	0.4165068498
119	0.4158496223
120	0.4153893987
121	0.4150457347
122	0.4147569381
123	0.4142038987
124	0.4137038553
125	0.4133285929
126	0.4129553057
127	0.4121879934
128	0.4118247064
129	0.4113424328
130	0.4109345045
131	0.4092520044
132	0.408640656
